Actual Price,Predicted Price
4060000,5164653.900339672
6650000,7224722.298021666
3710000,3109863.2424033796
6440000,4612075.327225596
2800000,3294646.2572595547
4900000,3532275.0955655845
5250000,5611774.568364757
4543000,6368145.987327182
2450000,2722856.9568998525
3353000,2629405.6158578238
10150000,9617039.503155801
2660000,2798087.304478878
3360000,3171096.768470633
3360000,3394639.091255277
2275000,3681088.6542427493
2660000,5263187.7462148545
2660000,3035963.4761238433
7350000,4786122.800400503
2940000,4349551.9200572
2870000,3572362.099304515
6720000,5774875.213956491
5425000,5886993.579198833
1890000,2730836.19518458
5250000,4727316.4732363485
4193000,5244847.527168005
12250000,7555324.216056034
3080000,3220790.8468026817
5110000,5191898.799342065
9800000,8143726.910097853
2520000,3398814.098250347
6790000,6490693.050279249
3500000,3315105.907478097
6650000,6708457.367613257
2940000,4201738.2107167635
3325000,3557571.067351859
4200000,5836974.50478626
4900000,4808660.674484749
3290000,4362878.7361326115
3500000,3191242.9570150757
2380000,4596554.932252384
5495000,4566042.860484109
3675000,3517779.52374148
6650000,7205844.793658354
4907000,3983597.2786110267
3150000,3749338.7027105624
4480000,4274731.091258953
6580000,6757442.10783741
5740000,4037320.436658511
3003000,3769334.9039712623
1820000,3417627.443771559
8400000,7268416.676446108
2450000,2802534.35431384
4270000,4341750.61420452
4007500,4516422.153456417
3234000,3679997.6503784675
1750000,2678959.0648115166
9800000,7498029.177824583
2100000,2920366.454931666
4340000,4239582.059601811
3045000,2766467.484670331
3850000,4841309.859332722
3500000,3584359.5601492217
4753000,5142140.848975794
3080000,4221869.209962629
4550000,4698408.50824081
6510000,4662380.985643122
6685000,7177841.5121642435
5110000,3452198.913837596
4550000,5902436.9136141185
6650000,6198094.318228124
3640000,4773218.996890771
5600000,5178933.325856978
3780000,4490410.961065599
6615000,7968737.415675145
3220000,3519394.9479219457
6650000,5501905.049095543
4690000,3947055.1557139494
4830000,4714056.367079508
6860000,4792291.267643814
2233000,4250596.746593776
7035000,7718149.193573501
4165000,4053241.1177575774
6195000,6453918.607577256
6510000,5355571.586802789
1890000,2755188.2917526886
8190000,6796008.097933598
2660000,2607277.381763313
4193000,3679738.8576198723
13300000,7968276.12638738
9681000,8078480.595008164
4340000,3266213.7730970653
8645000,5897888.5303104175
3703000,3569461.0743918563
5145000,3868964.9803252034
6440000,7584429.531248918
5950000,4740586.437716917
5810000,5139372.690322534
5740000,6423485.102286017
6230000,4914078.82258489
5600000,5982087.312893159
3010000,3855027.3219428053
8890000,6420308.272823645
4900000,3749108.5131482864
5530000,5998642.372044324
9100000,4973331.100292527
3773000,4336650.868963843
7910000,7059062.722748415
7350000,6398940.868319864
5530000,6363889.853126444
